Apellidos Nombre,Cargo Publico,Retribuciones2014Retribuciones2015,Fecha Inicio Relacion,Fecha Fin Relacion,Id_Dpto,Departamento,Id_Organo,Organo,Id_Centro_Organico,Centro Organico,Fecha Actualizacion
ABURTO ERDOIZA JOSEBA IMANOL,DIRECTOR/A,1062212,18/01/2013,27/02/2014,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3230000,DIRECCION DE INTERNACIONALIZACION,30/11/2015
ABURTO RIQUE JUAN MARIA,CONSEJERO/A DEL DEPARTAMENTO,8931209,17/12/2012,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,30/11/2015
ABURTO RIQUE JUAN MARIA,CONSEJERO/A DEL DEPARTAMENTO,1013691,17/12/2012,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
AGIRRE BERRIOTXOA MIREN ITZIAR,DIRECTOR/A,6708704,18/01/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5410000,DIRECCION DE ADMINISTRACION TRIBUTARIA,30/11/2015
AGIRRE BERRIOTXOA MIREN ITZIAR,DIRECTOR/A,6708702,18/01/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5410000,DIRECCION DE ADMINISTRACION TRIBUTARIA,22/06/2016
AGIRRE ORCAJO JAVIER,DIRECTOR/A GENERAL DE LA SOCIEDAD,7912486,15/03/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,171,IHOBE SA Sociedad Publica de Gestion Ambiental,171010000,IHOBE SA Sociedad Publica de Gestion Ambiental,30/11/2015
AGIRRE ORCAJO JAVIER,DIRECTOR/A GENERAL DE LA SOCIEDAD,8067843,15/03/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,171,IHOBE SA Sociedad Publica de Gestion Ambiental,171010000,DIRECCION GENERAL / GERENCIA,22/06/2016
AGOTE ALBERRO IMANOL,DIRECTOR/A,7284285,10/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6610000,DIRECCION DE PATRIMONIO CULTURAL,30/11/2015
AGOTE ALBERRO IMANOL,DIRECTOR/A,7426958,10/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6610000,DIRECCION DE PATRIMONIO CULTURAL,22/06/2016
AGUINACO LOPEZ DE SUSO EDUARDO,DIRECTOR/A,6708704,18/01/2013,06/07/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3420000,DIRECCION DE AGRICULTURA Y GANADERIA,30/11/2015
AGUINACO LOPEZ DE SUSO EDUARDO,DIRECTOR/A,3444662,18/01/2013,06/07/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3420000,DIRECCION DE AGRICULTURA Y GANADERIA,22/06/2016
AGUIRRE ALBERDI LAURA,DIRECTOR/A ECONOMICOFINANCIERO GR3,6349622,01/02/1998,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60132000,ORGANIZACION SANITARIA INTEGRADA GOIERRIALTO UROLA,30/11/2015
AGUIRRE ALBERDI LAURA,DIRECTOR/A ECONOMICOFINANCIERO GR3,6484338,01/02/1998,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60132000,ORGANIZACION SANITARIA INTEGRADA GOIERRIALTO UROLA,22/06/2016
AGUIRRE GOITIA JOSU,DIRECTOR/A,7132019,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6140000,DIRECCION DE REGIMEN JURIDICO Y SERVICIOS,30/11/2015
AGUIRRE GOITIA JOSU,DIRECTOR/A,7247214,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6140000,DIRECCION DE REGIMEN JURIDICO Y SERVICIOS,22/06/2016
AGUIRRE RUEDA MARIA,DIRECTOR/A,6708704,19/04/2013,,8,08  SALUD,8,Departamento de Salud,8140000,DIRECCION DE INVESTIGACION E INNOVACION SANITARIA,30/11/2015
AGUIRRE RUEDA MARIA,DIRECTOR/A,6708702,19/04/2013,,8,08  SALUD,8,Departamento de Salud,8140000,DIRECCION DE INVESTIGACION E INNOVACION SANITARIA,22/06/2016
AGUIRRE ZURUTUZA ANA,VICECONSEJERO/A,8442964,27/12/2012,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2400000,VICECONSEJERIA DE JUSTICIA,30/11/2015
AGUIRRE ZURUTUZA ANA,VICECONSEJERO/A,8600283,27/12/2012,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2400000,VICECONSEJERIA DE JUSTICIA,22/06/2016
AIERDI URRAZA XABIER,ASESOR/A DE GABINETE,7329566,07/10/2013,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,30/11/2015
AIERDI URRAZA XABIER,ASESOR/A DE GABINETE,610797,07/10/2013,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
AIERDI URRAZA XABIER,ASESOR/A DE GABINETE,6718767,10/02/2015,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
AIZ SALAZAR ANTONIO,VICECONSEJERO/A,7867383,25/04/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,9,Departamento de Medio Ambiente y Politica Territorial,9300000,VICECONSEJERIA DE TRANSPORTES,30/11/2015
AIZ SALAZAR ANTONIO,VICECONSEJERO/A,7867384,25/04/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,9,Departamento de Medio Ambiente y Politica Territorial,9300000,VICECONSEJERIA DE TRANSPORTES,22/06/2016
AIZPURUA TELLERIA PATXI XABIER,DIRECTOR/A IVEI (RANGO DIRECTOR),7216682,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6200000,VICECONSEJERIA DE EDUCACION,30/11/2015
AIZPURUA TELLERIA PATXI XABIER,DIRECTOR/A IVEI (RANGO DIRECTOR),7227841,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6200000,VICECONSEJERIA DE EDUCACION,22/06/2016
ALBERDI AMASORRAIN I%C3%IGO,DIRECTOR/A GENERAL DE LA SOCIEDAD,3913410,03/03/2006,31/07/2014,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,165,Orquesta de Euskadi SA,165010000,Orquesta de Euskadi SA,30/11/2015
ALBERDI ZUBIA ANA JESUSA,SECRETARIO/A GENERAL (NIVEL DIRECTOR),7329566,15/02/2013,,1,01  LEHENDAKARITZA,47,EMAKUNDE Instituto Vasco de la Mujer,47110000,SECRETARIA GENERAL,30/11/2015
ALBERDI ZUBIA ANA JESUSA,SECRETARIO/A GENERAL (NIVEL DIRECTOR),7440881,15/02/2013,,1,01  LEHENDAKARITZA,47,EMAKUNDE Instituto Vasco de la Mujer,47110000,SECRETARIA GENERAL,22/06/2016
ALBIZURI SANZ ARANTZA,DIRECTOR/A ECONOMICOFINANCIERO GR3,6636501,06/05/2014,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60124000,ORGANIZACION SANITARIA INTEGRADA BARAKALDOSESTAO,30/11/2015
ALBIZURI SANZ ARANTZA,DIRECTOR/A ECONOMICOFINANCIERO GR3,6781238,06/05/2014,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60124000,ORGANIZACION SANITARIA INTEGRADA BARAKALDOSESTAO,22/06/2016
